hhid,zone,state,lga,sector,ea,year,crop_code,crop_code_text,field_size,quant_harv_kg,value_harvest,value_harvest_hh,ha_planted,ha_harvest,number_trees_planted,percent_field,percent_inputs,ha_harv_yld,ha_plan_yld,sales_value,kgs_sold,land_size,farm_area,farm_size_agland,n_kg,p_kg,k_kg,n_org_kg,npk_kg,urea_kg,inorg_fert_kg,org_fert_kg,pest_kg,herb_kg,all_use_inorg_fert,use_pest,use_herb,annual_selfemp_profit,annual_salary,annual_salary_agwage,labor_family,labor_hired,labor_nonhired,total_labor_day,wave,plot_id_x,plot_id_y,t2m,rh2m,prectotcorr,year_former,actor1,conflict_event,total_fatalities,total_combined_fatalities,total_number_conflict_event,military_presence
20003,north east,taraba,ardo kola,rural,0.0,2019,1070,guinea corn (sorghum),0.1046999990940094,12.469999313354492,1745.7999267578125,0.0,0.04162771254777908,0.013737145811319351,0.0,0.39759036898612976,0.39759036898612976,0.0,0.0,0.0,0.0,0.7766099870204926,0.7766099870204926,0.7766099870204926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,234000.0,0.0,0.0,100.0,12.0,40.0,152.0,1,,,26.55906412532296,64.52221526442385,103.43658069024184,,,0.0,0.0,0.0,0.0,0.0
20009,north east,taraba,lamurde,rural,0.0,2019,1070,guinea corn (sorghum),0.3227199986577034,550.0,77000.0,77000.0,0.3227199986577034,0.3227199986577034,0.0,2.0,2.0,0.3227199986577034,0.3227199986577034,0.0,0.0,0.45762000139802694,0.44262000173330307,0.44262000173330307,64.0,12.0,11.0,1.5,100.0,100.0,200.0,150.0,0.0,2.0,1.0,0.0,1.0,0.0,8000.0,0.0,8.0,5.0,0.0,13.0,1,,,26.55906412532296,64.52221526442385,103.43658069024184,,,0.0,0.0,0.0,0.0,0.0
50001,north east,bauchi,dass,rural,830.0,2019,1070,guinea corn (sorghum),1.191499948501587,200.0,28000.0,28000.0,1.191499948501587,1.191499948501587,0.0,1.0,1.0,1.191499948501587,1.191499948501587,0.0,0.0,2.9399799965322018,2.8799799978733063,2.8799799978733063,81.6,8.4,7.7,0.0,70.0,150.0,220.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,68.0,31.0,0.0,99.0,1,,,24.9859452124936,53.79109613415258,82.08833333333332,,,0.0,0.0,0.0,0.0,0.0
50002,north east,bauchi,dass,rural,830.0,2019,1070,guinea corn (sorghum),0.3170900046825409,0.0,0.0,0.0,0.3170900046825409,0.0,0.0,1.0,1.0,0.0,0.3170900046825409,0.0,0.0,3.302279993891716,3.302279993891716,3.302279993891716,214.0,66.0,60.5,0.0,550.0,250.0,800.0,0.0,16.0,16.0,1.0,1.0,1.0,0.0,0.0,0.0,56.0,4.0,0.0,60.0,1,,,24.9859452124936,53.79109613415258,82.08833333333332,,,0.0,0.0,0.0,0.0,0.0
50003,north east,bauchi,dass,rural,830.0,2019,1070,guinea corn (sorghum),0.6248400211334229,550.0,77000.0,77000.0,0.6248400211334229,0.6248400211334229,0.0,2.0,2.0,0.6248400211334229,0.6248400211334229,0.0,0.0,2.935130037367344,2.835130035877228,2.835130035877228,105.0,24.0,22.0,0.0,200.0,150.0,350.0,0.0,2.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,21.0,1,,,24.9859452124936,53.79109613415258,82.08833333333332,,,0.0,0.0,0.0,0.0,0.0
50006,north east,bauchi,dass,rural,830.0,2019,1070,guinea corn (sorghum),0.697160005569458,800.0,112000.0,112000.0,0.697160005569458,0.697160005569458,0.0,1.0,1.0,0.697160005569458,0.697160005569458,14000.0,200.0,2.9270399883389473,2.857039988040924,2.857039988040924,267.5,48.0,44.0,0.0,400.0,425.0,825.0,0.0,4.0,19.0,1.0,1.0,1.0,0.0,0.0,0.0,27.0,4.0,50.0,81.0,1,,,24.9859452124936,53.79109613415258,82.08833333333332,,,0.0,0.0,0.0,0.0,0.0
50007,north east,bauchi,dass,rural,830.0,2019,1070,guinea corn (sorghum),1.3974699974060059,205.75498962402344,28805.6982421875,0.0,0.9042699933052063,0.9042699933052063,0.0,1.5,1.5,0.9042699933052063,0.9042699933052063,0.0,0.0,2.8716200068593025,1.8716200068593025,1.8716200068593025,18.36,3.96,3.63,0.0,33.0,27.0,60.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,43.0,15.0,0.0,58.0,1,,,24.9859452124936,53.79109613415258,82.08833333333332,,,0.0,0.0,0.0,0.0,0.0
50008,north east,bauchi,dass,rural,830.0,2019,1070,guinea corn (sorghum),0.37608999013900757,150.0,21000.0,21000.0,0.37608999013900757,0.37608999013900757,0.0,1.0,1.0,0.37608999013900757,0.37608999013900757,0.0,0.0,2.6763599663972855,2.3013599663972855,2.3013599663972855,36.0,24.0,22.0,5.0,200.0,0.0,200.0,500.0,0.0,5.5,1.0,0.0,1.0,0.0,0.0,120000.0,40.0,4.0,6.0,50.0,1,,,24.9859452124936,53.79109613415258,82.08833333333332,,,0.0,0.0,0.0,0.0,0.0
50009,north east,bauchi,dass,rural,830.0,2019,1070,guinea corn (sorghum),1.0346200168132782,600.0,84000.0,84000.0,1.0346200168132782,1.0346200168132782,0.0,2.0,2.0,1.0346200168132782,1.0346200168132782,0.0,0.0,7.575520146638155,6.135520104318857,7.335520152002573,63.0,42.0,38.5,24.0,350.0,0.0,350.0,2400.0,2.0,16.0,1.0,1.0,1.0,321600.0,696000.0,0.0,126.0,17.0,3.0,146.0,1,,,24.9859452124936,53.79109613415258,82.08833333333332,,,0.0,0.0,0.0,0.0,0.0
50031,north east,bauchi,bauchi,rural,3878.0,2019,1070,guinea corn (sorghum),1.3523399829864502,0.0,0.0,0.0,0.4402695596218109,0.0,0.0,0.7481203079223633,0.7481203079223633,0.0,0.4402695596218109,0.0,0.0,1.50900998711586,1.50900998711586,1.50900998711586,64.0,12.0,11.0,3.0,100.0,100.0,200.0,300.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,66.0,8.0,0.0,74.0,1,,,26.48757981310804,53.69352291346647,75.68833333333333,,,0.0,0.0,0.0,0.0,0.0
50034,north east,bauchi,bauchi,rural,3878.0,2019,1070,guinea corn (sorghum),1.714400053024292,881.5999755859375,123424.0,0.0,0.857200026512146,0.857200026512146,0.0,0.5,0.5,0.857200026512146,0.857200026512146,0.0,0.0,3.202860005199909,3.102860003709793,3.102860003709793,87.0,12.0,11.0,5.0,100.0,150.0,250.0,500.0,0.0,19.0,1.0,0.0,1.0,48000.0,0.0,0.0,32.0,8.0,0.0,40.0,1,,,26.48757981310804,53.69352291346647,75.68833333333333,,,0.0,0.0,0.0,0.0,0.0
50035,north east,bauchi,bauchi,rural,3878.0,2019,1070,guinea corn (sorghum),1.7050000429153442,1500.0,210000.0,210000.0,1.7050000429153442,1.7050000429153442,0.0,1.0,1.0,1.7050000429153442,1.7050000429153442,0.0,0.0,5.22470710799098,5.22470710799098,5.22470710799098,39.059998,3.96,3.63,0.0,33.0,72.0,105.0,0.0,0.0,18.5,1.0,0.0,1.0,1093800.0,0.0,0.0,13.0,0.0,6.0,19.0,1,,,26.48757981310804,53.69352291346647,75.68833333333333,,,0.0,0.0,0.0,0.0,0.0
50036,north east,bauchi,bauchi,rural,3878.0,2019,1070,guinea corn (sorghum),1.8774000406265259,500.0,70000.0,70000.0,0.9387000203132629,0.9387000203132629,0.0,0.5,0.5,0.9387000203132629,0.9387000203132629,0.0,0.0,4.347160041332245,3.9671600461006165,3.9671600461006165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,75.0,18.0,20.0,113.0,1,,,26.48757981310804,53.69352291346647,75.68833333333333,,,0.0,0.0,0.0,0.0,0.0
